    mnormiert       etaasm370      etaasm4k      etaasm11k
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.0000000e-02   7.7446413e+00   3.4303552e+01   4.0809328e+01
   4.0000000e-02   1.4358771e+01   5.1015906e+01   5.7903488e+01
   6.0000000e-02   2.0058222e+01   6.0864201e+01   6.7264140e+01
   8.0000000e-02   2.5007459e+01   6.7327264e+01   7.3147053e+01
   1.0000000e-01   2.9333992e+01   7.1872979e+01   7.7169473e+01
   1.2000000e-01   3.3138199e+01   7.5227855e+01   8.0080531e+01
   1.4000000e-01   3.6500175e+01   7.7792604e+01   8.2274811e+01
   1.6000000e-01   3.9484600e+01   7.9806355e+01   8.3979909e+01
   1.8000000e-01   4.2144274e+01   8.1420643e+01   8.5336317e+01
   2.0000000e-01   4.4522723e+01   8.2736148e+01   8.6435453e+01
   2.2000000e-01   4.6656145e+01   8.3822381e+01   8.7339370e+01
   2.4000000e-01   4.8574885e+01   8.4728876e+01   8.8091665e+01
   2.6000000e-01   5.0304574e+01   8.5491886e+01   8.8723872e+01
   2.8000000e-01   5.1867002e+01   8.6138555e+01   8.9259357e+01
   3.0000000e-01   5.3280814e+01   8.6689608e+01   8.9715809e+01
   3.2000000e-01   5.4562055e+01   8.7161146e+01   9.0106860e+01
   3.4000000e-01   5.5724603e+01   8.7565863e+01   9.0443187e+01
   3.6000000e-01   5.6780525e+01   8.7913903e+01   9.0733271e+01
   3.8000000e-01   5.7740360e+01   8.8213472e+01   9.0983934e+01
   4.0000000e-01   5.8613353e+01   8.8471276e+01   9.1200727e+01
   4.2000000e-01   5.9407645e+01   8.8692852e+01   9.1388211e+01
   4.4000000e-01   6.0130432e+01   8.8882809e+01   9.1550169e+01
   4.6000000e-01   6.0788101e+01   8.9045017e+01   9.1689764e+01
   4.8000000e-01   6.1386333e+01   8.9182748e+01   9.1809663e+01
   5.0000000e-01   6.1930204e+01   8.9298786e+01   9.1912130e+01
   5.2000000e-01   6.2424257e+01   8.9395519e+01   9.1999098e+01
   5.4000000e-01   6.2872573e+01   8.9475001e+01   9.2072227e+01
   5.6000000e-01   6.3278828e+01   8.9539013e+01   9.2132954e+01
   5.8000000e-01   6.3646337e+01   8.9589105e+01   9.2182526e+01
   6.0000000e-01   6.3978101e+01   8.9626632e+01   9.2222031e+01
   6.2000000e-01   6.4276842e+01   8.9652784e+01   9.2252423e+01
   6.4000000e-01   6.4545033e+01   8.9668611e+01   9.2274541e+01
   6.6000000e-01   6.4784926e+01   8.9675042e+01   9.2289128e+01
   6.8000000e-01   6.4998576e+01   8.9672902e+01   9.2296842e+01
   7.0000000e-01   6.5187861e+01   8.9662928e+01   9.2298269e+01
   7.2000000e-01   6.5354501e+01   8.9645776e+01   9.2293933e+01
   7.4000000e-01   6.5500073e+01   8.9622037e+01   9.2284302e+01
   7.6000000e-01   6.5626027e+01   8.9592241e+01   9.2269798e+01
   7.8000000e-01   6.5733697e+01   8.9556868e+01   9.2250799e+01
   8.0000000e-01   6.5824310e+01   8.9516349e+01   9.2227650e+01
   8.2000000e-01   6.5899000e+01   8.9471077e+01   9.2200659e+01
   8.4000000e-01   6.5958817e+01   8.9421408e+01   9.2170110e+01
   8.6000000e-01   6.6004728e+01   8.9367666e+01   9.2136257e+01
   8.8000000e-01   6.6037632e+01   8.9310148e+01   9.2099336e+01
   9.0000000e-01   6.6058361e+01   8.9249123e+01   9.2059558e+01
   9.2000000e-01   6.6067689e+01   8.9184840e+01   9.2017121e+01
   9.4000000e-01   6.6066334e+01   8.9117524e+01   9.1972202e+01
   9.6000000e-01   6.6054966e+01   8.9047387e+01   9.1924968e+01
   9.8000000e-01   6.6034207e+01   8.8974619e+01   9.1875568e+01
   1.0000000e+00   6.6004638e+01   8.8899398e+01   9.1824143e+01
   1.0200000e+00   6.5966801e+01   8.8821888e+01   9.1770822e+01
   1.0400000e+00   6.5921202e+01   8.8742239e+01   9.1715725e+01
   1.0600000e+00   6.5868315e+01   8.8660594e+01   9.1658960e+01
   1.0800000e+00   6.5808583e+01   8.8577081e+01   9.1600632e+01
   1.1000000e+00   6.5742419e+01   8.8491821e+01   9.1540836e+01
   1.1200000e+00   6.5670213e+01   8.8404927e+01   9.1479658e+01
   1.1400000e+00   6.5592329e+01   8.8316504e+01   9.1417183e+01
